dataset,source,n_rows,p_encoded,IR,n_minority,standard_auc,standard_accuracy,standard_output_stab,standard_structural
early_stage_diabetes_risk,UCI,520,31,1.6,200,0.997890625,0.9749999999999998,0.006149305349109,0.9976361848629706
heart_failure_clinical_records,UCI,299,12,2.11,96,0.8552999999999998,0.7466666666666666,0.0151210726828502,0.4211274555032109
blood_transfusion,UCI,748,4,3.2,178,0.7567738791423002,0.7738666666666664,0.0024916328876917,0.281563297545768
yeast3,KEEL,1484,8,8.1,163,0.9531813909774436,0.912013422818792,0.009288083707142,1.298044461990606
page_blocks0,KEEL,5472,10,8.79,559,0.9479720165505228,0.9471167883211676,0.0005629121209428,0.5178163912481357
vowel0,KEEL,988,13,9.98,90,0.9957283950617284,0.9693939393939393,0.0012651508366266,4.243666724121246
glass2,KEEL,214,9,11.59,17,0.924,0.908181818181818,0.0016023953759922,1.616397972178452
polish_bankruptcy_5year,UCI,5910,64,13.41,410,0.8396425720620841,0.9309475465313026,0.0017219976339571,2.4985614837157977
shuttle_c0_vs_c4,KEEL,1829,9,13.87,123,1.0,0.9344262295081966,6.226571733824759e-06,0.0160650941418649
glass4,KEEL,214,9,15.46,13,0.5042857142857143,0.9540909090909092,0.0017674194307995,2.7834465987013965
page_blocks_1_3_vs_4,KEEL,472,10,15.86,28,0.9751851851851848,0.94625,0.003987337961812,5.753532950225775
abalone9_18,KEEL,731,10,16.4,42,0.942785714285714,0.9587837837837836,0.000788681358889,1.214826796156104
dermatology_6,KEEL,358,34,16.9,20,1.0,0.9444444444444444,6.262947337972643e-07,0.0043993301008323
polish_bankruptcy_4year,UCI,9792,64,18.01,515,0.6894794429708222,0.9449897959183676,0.0015218765895941,2.0903716600285027
zoo_3,KEEL,101,16,19.2,5,0.9530000000000004,0.9245454545454544,0.0105943634271665,2.770337998152741
polish_bankruptcy_3year,UCI,10503,64,20.22,495,0.7106163836163837,0.9477735490009516,0.0008969307914864,2.217432875551596
glass5,KEEL,214,9,22.78,9,0.9747619047619048,0.9563636363636364,0.0102967936117582,4.403293810648151
lymphography_normal_fibrosis,KEEL,148,47,23.67,6,0.9557142857142858,0.9333333333333336,4.824843308281272e-07,0.0021421623186504
flare_F,KEEL,1066,19,23.79,43,0.9294174757281553,0.9615887850467288,0.0008895587434497,1.5426044581556306
car_good,KEEL,1728,21,24.04,69,0.9670395869191052,0.9523699421965318,0.0006343431291922,3.0212255688980787
polish_bankruptcy_2year,UCI,10173,64,24.43,400,0.7119179447852761,0.9575049115913556,0.0004972693978553,1.92403562590948
polish_bankruptcy_1year,UCI,7027,64,24.93,271,0.7355914420337498,0.9627027027027028,0.0008722164880805,2.4746909661829504
kr_vs_k_one_vs_fifteen,KEEL,2244,23,27.77,78,0.9981624423963134,0.9849777777777774,0.005513231173843,2.664148024135981
winequality_red_4,KEEL,1599,11,29.17,53,0.7482451612903225,0.96875,0.0003072627477916,0.4355205310784306
kddcup_guess_passwd_vs_satan,KEEL,1642,71,29.98,53,1.0,0.978060606060606,0.0005507230882003,0.7605875000464789
abalone_3_vs_11,KEEL,502,10,32.47,15,1.0,0.96078431372549,2.0949607501160976e-08,0.0038395138169497
winequality_white_9_vs_4,KEEL,168,11,32.6,5,1.0,0.9558823529411764,0.0056828282816486,5.0126614205150615
yeast5,KEEL,1484,8,32.73,44,0.9925862068965516,0.9764429530201344,0.00154971607207,2.0293483892530273
ecoli_0_1_3_7_vs_2_6,KEEL,281,7,39.14,7,1.0,0.973448275862069,0.0034153737569241,1.357336257252914
yeast6,KEEL,1484,8,41.4,35,0.9773448275862066,0.9790604026845638,0.0012347101941876,1.4035054098216602
winequality_white_3_vs_7,KEEL,900,11,44.0,20,0.9022727272727272,0.9851111111111114,0.0022833209380922,0.9915979279494812
winequality_red_8_vs_6_7,KEEL,855,11,46.5,18,0.803809523809524,0.9767441860465118,0.0002809629496848,0.954421123158703
kddcup_land_vs_portsweep,KEEL,1061,82,49.52,21,1.0,0.9853271028037384,5.7570865795654096e-05,0.2177694168946679
abalone_19_vs_10_11_12_13,KEEL,1622,10,49.69,32,0.6184166666666666,0.979325153374233,0.0006085932599469,0.7862447401757655
kr_vs_k_zero_vs_eight,KEEL,1460,23,53.07,27,0.9973659673659672,0.9931506849315068,0.0014582110880608,5.824724732184291
poker_8_9_vs_6,KEEL,1485,10,58.4,25,0.3189954337899544,0.9798657718120808,3.7386325898295605e-05,0.2324619026558567
winequality_red_3_vs_5,KEEL,691,11,68.1,10,0.2427536231884058,0.9857142857142857,0.0002664814468019,1.8106776805012803
kddcup_land_vs_satan,KEEL,1610,68,75.67,21,1.0,1.0,0.0002916593597297,0.8081116621160312
kr_vs_k_zero_vs_fifteen,KEEL,2193,23,80.22,27,0.9980798771121352,0.9932727272727276,0.001183919432896,0.930061538133236
poker_8_vs_6,KEEL,1477,10,85.88,17,0.4358219178082192,0.9864864864864864,1.7052118545395345e-05,0.2086348968242848
