dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
early_stage_diabetes_risk,1.6,standard,0.006149305349109,0.142293374313752,0.8553428105492185,0.9976361848629706,20.181959490137334,0.1,0.25,0.9749999999999998,0.0150953774440426,0.9230769230769232,0.997890625,0.0030802909719036,0.9765625,0.0503048595634754,0.0607509303915526,5.0304859563475475,,,
early_stage_diabetes_risk,1.6,stable,0.0138989697301913,0.1019976539955076,0.658197679006996,0.7601953330025036,13.895503193588574,100.0,0.62,0.9690384615384612,0.0413534940449637,0.6153846153846154,0.99603125,0.0048321535589917,0.971875,3.224894457173068,1.0063802809722768,322.4894457173068,1.0856782199466086,0.7,0.67
early_stage_diabetes_risk,1.6,balanced,0.0121875031732304,0.0971982760646936,0.5310730668526618,0.6282713429173554,13.244854478930913,100.0,0.67,0.9476923076923076,0.0858756887197736,0.6153846153846154,0.9961875,0.0046495729954915,0.978125,5.715919703770196,1.5539680336490105,571.5919703770196,1.0945050115157031,0.7,0.57
heart_failure_clinical_records,2.11,standard,0.0151210726828502,0.1758356528107535,0.2452918026924574,0.4211274555032109,16.170464968217715,0.001,0.29,0.7466666666666666,0.0640916851685467,0.6666666666666666,0.8552999999999998,0.0101459052794412,0.835,0.0089853116788435,0.0019332419337773,0.8985311678843573,,,
heart_failure_clinical_records,2.11,stable,0.01896451459184,0.1434238019326791,0.3578093136461925,0.5012331155788716,85.46047440665184,0.001,0.34,0.7210000000000002,0.067611984672693,0.6666666666666666,0.8574,0.0108822903115218,0.8300000000000001,0.3821864067029674,0.0239784755464186,38.218640670296736,1.092719704481726,0.7,0.48
heart_failure_clinical_records,2.11,balanced,0.0115445471449569,0.1294495254853301,0.1739927227135767,0.3034422481989069,61.09428046016055,0.001,0.31,0.6963333333333336,0.0554331985922952,0.6666666666666666,0.84785,0.0104266315972439,0.83,0.6734931558324024,0.0431756160150909,67.34931558324024,1.099597170872313,0.7,0.31
blood_transfusion,3.2,standard,0.0024916328876917,0.1783896173737734,0.1031736801719945,0.281563297545768,19.54314475063552,0.01,0.38,0.7738666666666664,0.0065429599935344,0.76,0.7567738791423002,0.0162273968258378,0.72953216374269,0.0096038650278933,0.0041755062321321,0.9603865027893336,,,
blood_transfusion,3.2,stable,0.002381993407397,0.1346523285792314,0.1778370412198656,0.3124893697990971,12.163779544035751,10.0,0.44,0.7745333333333332,0.0082812513896828,0.76,0.7493372319688109,0.0116629447386757,0.7236842105263157,0.2965112728218082,0.0251758746030356,29.651127282180823,1.0998802017909743,0.9,0.34
blood_transfusion,3.2,balanced,0.0015098624086816,0.1153860639032248,0.057782643729578,0.1731687076328029,66.96571435475828,0.001,0.26,0.7616000000000003,0.0043546484316145,0.76,0.7379532163742691,0.0163875309974089,0.6817738791423003,0.577364388309652,0.0401809065146309,57.7364388309652,1.1204800845116942,0.9,0.52
yeast3,8.1,standard,0.009288083707142,0.2806473593980897,1.017397102592516,1.298044461990606,38.43935194435453,0.001,0.38,0.912013422818792,0.0187632338247922,0.8926174496644296,0.9531813909774436,0.0025369214445101,0.9468984962406016,0.0135237508092541,0.0006162270847904,1.3523750809254125,,,
