dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
abalone_19_vs_10_11_12_13,49.69,standard,0.000608593259946928,0.4831544879281141,0.3030902522476514,0.7862447401757655,26.14927612785646,100.0,0.38,0.979325153374233,0.003338125862430007,0.9693251533742331,0.6184166666666666,0.0827800021733536,0.4041666666666666,0.06424473959021271,0.028630223025999213,6.42447395902127,,,
abalone_19_vs_10_11_12_13,49.69,stable,1.770489349225736e-05,0.08477300808070835,0.08296944293931537,0.16774245102002372,112.40088987546724,100.0,0.59,0.9815950920245394,4.463264492478967e-16,0.9815950920245399,0.5650208333333334,0.07471612886330245,0.31875000000000003,3.311581165790558,0.8328013121786224,331.1581165790558,1.0777817237205929,0.7,0.73
abalone_19_vs_10_11_12_13,49.69,balanced,1.0905769022841199e-05,0.04896553113989086,0.13109763031257707,0.18006316145246792,56.070821354427274,100.0,0.26,0.9815950920245394,4.463264492478967e-16,0.9815950920245399,0.5718541666666667,0.09356650345547426,0.17291666666666666,6.67175213417504,1.2516124204685797,667.175213417504,1.0782006712817265,0.7,0.5
ecoli_0_1_3_7_vs_2_6,39.14,standard,0.003415373756924119,0.2433553819456344,1.1139808753072795,1.357336257252914,15.055555228140515,0.001,0.76,0.973448275862069,0.014584571885574141,0.9655172413793104,1.0,0.0,1.0,0.012155387403909116,0.0024828903830613966,1.2155387403909117,,,
ecoli_0_1_3_7_vs_2_6,39.14,stable,0.003060611293829817,0.1759675102486594,0.8180418202419565,0.9940093304906159,89.76068040667407,0.001,0.75,0.9710344827586206,0.012705274109567939,0.9655172413793104,1.0,0.0,1.0,0.4038917037844658,0.014514564040251043,40.38917037844658,1.0263347655100394,0.7,0.98
ecoli_0_1_3_7_vs_2_6,39.14,balanced,0.0013391841072884724,0.12113268207468865,0.4946086348684461,0.6157413169431347,49.32800106750064,0.001,0.74,0.9679310344827587,0.008842496550904914,0.9655172413793104,1.0,0.0,1.0,0.8846642579277977,0.048680927974626365,88.46642579277977,1.0463635659000252,0.7,0.91
kddcup_land_vs_portsweep,49.52,standard,5.7570865795654096e-05,0.0016331448202555295,0.21613627207441236,0.2177694168946679,1.3826278296048007,0.001,0.98,0.9853271028037384,0.004836191494162002,0.9813084112149533,1.0,0.0,1.0,0.06176754995249212,0.028785912740489944,6.176754995249212,,,
kddcup_land_vs_portsweep,49.52,stable,5.448596676966397e-07,0.0002845000573310035,0.005341316465879685,0.005625816523210689,1.6699424450776297,0.001,0.98,0.9813084112149534,1.1158161231197418e-16,0.9813084112149533,1.0,3.156004588861012e-17,0.9999999999999999,16.65541399328271,2.3741388062698956,1665.541399328271,1.0000000000000002,0.7,1.0
kddcup_land_vs_portsweep,49.52,balanced,2.0894193857359033e-05,1.7808037380998866e-05,0.20319254897297911,0.2032103570103601,1.2589254117941673,0.001,0.99,0.9813084112149534,1.1158161231197418e-16,0.9813084112149533,1.0,2.495040701686017e-17,0.9999999999999999,27.33922190837795,3.9587721027669733,2733.922190837795,1.0000000000000002,0.7,1.0
kr_vs_k_zero_vs_eight,53.07,standard,0.00145821108806089,0.9029455726092445,4.921779159575046,5.824724732184291,8.308850565757888,100.0,0.52,0.9931506849315069,0.004566210045662105,0.9794520547945206,0.9973659673659673,0.0044531272082079815,0.9790209790209791,0.12038332580123097,0.0532161580934506,12.038332580123097,,,
