dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
early_stage_diabetes_risk,1.6,standard,0.0061032088187287,0.0440644320279708,0.3286519578786105,0.3727163899065813,28.997190653456876,1.0,0.28,0.9678846153846152,0.0239935477848883,0.903846153846154,0.9976874999999998,0.0030650821416975,0.9828125,0.0059211204177699,0.0020046463058693,0.5921120417769998,,,
early_stage_diabetes_risk,1.6,stable,0.0064811061397608,0.0452891850449375,0.3021436346589075,0.347432819703845,28.77641095181029,0.01,0.23,0.9715384615384616,0.0194202014226956,0.8846153846153846,0.997171875,0.0035995095480832,0.98125,0.730177496225806,0.046073642143483,73.0177496225806,1.0503298422709992,0.7,0.91
early_stage_diabetes_risk,1.6,balanced,0.0062573337590651,0.0453464134848435,0.2730806954132051,0.3184271088980486,28.59561541096727,0.01,0.27,0.9701923076923076,0.0207040546893828,0.9230769230769232,0.996421875,0.0048671133353421,0.9859375,0.7543832999584265,0.0438547137157126,75.43832999584265,1.0709666741076689,0.7,0.76
heart_failure_clinical_records,2.11,standard,0.0049792674976537,0.0553210647953958,0.1477387377815173,0.2030598025769131,9.287947950329244,0.001,0.48,0.8176666666666665,0.0180129645292927,0.7666666666666667,0.8548,0.0102227711754225,0.8300000000000001,0.0046894553885795,0.0025161658505261,0.4689455388579517,,,
heart_failure_clinical_records,2.11,stable,0.0044768007712751,0.0530186665349023,0.1086474926758186,0.161666159210721,7.960740719426337,0.001,0.63,0.7536666666666665,0.0487544064024864,0.6666666666666666,0.8550500000000001,0.0105288204755357,0.8300000000000001,0.4290005991456564,0.0171801166108418,42.900059914565645,1.0898742859365589,0.7,0.54
heart_failure_clinical_records,2.11,balanced,0.0035313094936264,0.0511511004415918,0.0430928277466575,0.0942439281882494,10.634422021789664,0.001,0.69,0.7083333333333335,0.0653703942159989,0.6666666666666666,0.84805,0.0105384097855454,0.8250000000000001,0.432876021231059,0.0109979520837674,43.2876021231059,1.096885847343127,0.7,0.28
blood_transfusion,3.2,standard,0.000951113379204,0.0444297278985135,0.1195619071015225,0.163991635000036,15.24211401945616,0.001,0.39,0.7856000000000001,0.0036354656579238,0.7733333333333333,0.7553801169590644,0.014142127210227,0.7285575048732944,0.0051408629131037,0.0020988763758698,0.5140862913103774,,,
blood_transfusion,3.2,stable,0.0004599341280806,0.0448886921425942,0.0527716522299628,0.097660344372557,23.43172344264533,0.001,0.36,0.7771999999999999,0.0063691174086883,0.76,0.7492300194931774,0.011498400477096,0.7305068226120858,0.8254349091346376,0.0469261793664987,82.54349091346376,1.103755179642206,0.9,0.31
blood_transfusion,3.2,balanced,0.0003929557585295,0.0452313245195972,0.0122963970104798,0.057527721530077,17.49030693895874,0.001,0.5,0.7658666666666667,0.0066518353542647,0.76,0.7347076023391813,0.0093040443295498,0.7100389863547759,0.8255216350185219,0.0512805233971819,82.55216350185219,1.0651080458413626,0.9,0.71
yeast3,8.1,standard,0.0061802060754798,0.0704241746700644,0.3658133003128852,0.4362374749829496,32.7171685198155,0.001,0.52,0.9254362416107382,0.0114030137632513,0.912751677852349,0.9541682330827068,0.0019374978292659,0.9473684210526316,0.0067489120969548,0.0015706332244991,0.6748912096954882,,,
