dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
abalone_19_vs_10_11_12_13,49.69,standard,0.0006158944787136726,0.03686150842091833,0.11172958949778963,0.14859109791870795,32.767431206253335,0.01,0.34,0.9815950920245394,4.463264492478967e-16,0.9815950920245399,0.6243541666666668,0.06380628099810552,0.4625,0.00900819335365668,0.0028064164712236325,0.9008193353656679,,,
abalone_19_vs_10_11_12_13,49.69,stable,8.123791646058058e-05,0.040452775705087166,0.01722442802169065,0.057677203726777815,52.43406573817506,0.001,0.36,0.9815950920245394,4.463264492478967e-16,0.9815950920245399,0.6227291666666666,0.056372695558874183,0.44791666666666663,2.172188929617405,0.06498565249588158,217.2188929617405,1.089532703709269,0.7,0.75
abalone_19_vs_10_11_12_13,49.69,balanced,3.492953519275599e-05,0.02893049954799059,0.007926616919678988,0.03685711646766958,45.59224233770179,0.001,0.39,0.9815950920245394,4.463264492478967e-16,0.9815950920245399,0.6242500000000001,0.056483351241337486,0.4458333333333333,2.1956844808277673,0.0818787833316638,219.56844808277674,1.103180091127075,0.9,0.39
ecoli_0_1_3_7_vs_2_6,39.14,standard,0.0055233921537655925,0.037701183772452254,0.34243261727793656,0.3801338010503888,6.2318317471884495,0.001,0.72,1.0,0.0,1.0,1.0,0.0,1.0,0.004297559165861458,0.00013211018300490434,0.42975591658614576,,,
ecoli_0_1_3_7_vs_2_6,39.14,stable,0.001812100135380458,0.09632245401203483,0.6036900317608377,0.7000124857728726,4.813537286474277,0.001,0.76,0.9734482758620691,0.014584571885574145,0.9655172413793104,1.0,0.0,1.0,0.4183762158988975,0.019116333871316348,41.83762158988975,1.015080727761284,0.7,0.98
ecoli_0_1_3_7_vs_2_6,39.14,balanced,0.001663111506769482,0.09562062988634198,0.600281633680711,0.695902263567053,4.654549871564448,0.001,0.81,0.9679310344827587,0.008842496550904914,0.9655172413793104,1.0,0.0,1.0,0.41793320461409167,0.017090207617470658,41.79332046140917,1.0201345417284473,0.7,0.94
kddcup_land_vs_portsweep,49.52,standard,0.0007571512929067064,0.005264488795303577,0.08179171991468143,0.087056208709985,1.8735268624364068,0.001,0.92,0.9945794392523364,0.006255966201744812,0.9813084112149533,0.9999523809523809,0.00047619047619047397,0.9952380952380953,1.6422962133423424,0.17069796803658657,164.22962133423425,,,
kddcup_land_vs_portsweep,49.52,stable,4.7496654971281916e-05,0.0009081449999782592,0.031531156377771465,0.032439301377749724,1.8048137873248242,0.001,0.93,1.0,0.0,1.0,1.0,2.495040701686017e-17,0.9999999999999999,5.232450447874144,0.6054540266838969,523.2450447874144,1.0000000000000002,0.7,1.0
kddcup_land_vs_portsweep,49.52,balanced,4.933588334080405e-05,0.0008744838366237488,0.033007245883204174,0.033881729719827926,1.8958238349407963,0.001,0.95,1.0,0.0,1.0,1.0,2.495040701686017e-17,0.9999999999999999,5.250177951736841,0.7273449849913018,525.0177951736841,1.0000000000000002,0.7,1.0
kr_vs_k_zero_vs_eight,53.07,standard,0.011878447776749013,0.4039456490441822,2.1940642120611185,2.5980098611053006,43.849890737117796,100.0,0.44,0.9896575342465753,0.006779427591862373,0.9794520547945206,0.9975058275058275,0.0030230495867603737,0.986013986013986,0.017457031668163835,0.004318169549210292,1.7457031668163836,,,
kr_vs_k_zero_vs_eight,53.07,stable,0.006848469893655078,0.4059961017496201,2.220903248667973,2.6268993504175935,31.186088506718324,100.0,0.37,0.9906849315068493,0.006710930802145681,0.9726027397260274,0.9982983682983684,0.0026886513284296453,0.9906759906759907,2.750802569128573,0.18435948122521084,275.0802569128573,1.0000000000000002,0.7,1.0
kr_vs_k_zero_vs_eight,53.07,balanced,0.008829532226234461,0.42477351766824023,2.352348094522706,2.7771216121909466,45.184491112645944,100.0,0.34,0.9893835616438357,0.006700684291140683,0.9726027397260274,0.9979254079254081,0.0027896383948743113,0.9906759906759907,2.7225439475430178,0.15046716589989687,272.25439475430176,1.0361498705769099,0.7,0.91
poker_8_vs_6,85.88,standard,0.0010153755869678985,0.003724800756035659,0.14968198628036336,0.153406787036399,23.872165503197134,0.001,0.6,0.9864864864864863,2.2316322462394835e-16,0.9864864864864865,0.39119863013698625,0.3615247519653781,0.0,0.006937588762957603,0.0006409429465892872,0.6937588762957603,,,
poker_8_vs_6,85.88,stable,2.1875764953044202e-06,0.0024252796583636126,0.003380028643052811,0.005805308301416423,18.490376008352047,0.001,0.48,0.9864864864864863,2.2316322462394835e-16,0.9864864864864865,0.44842465753424654,0.4200712506709826,0.0,2.139917352513876,0.16167022351146978,213.99173525138758,1.1014412886157297,0.7,0.4
poker_8_vs_6,85.88,balanced,2.8642759308620514e-08,0.00015970680947638094,0.000707472531098693,0.0008671793405750739,40.15904768811005,0.001,0.38,0.9864864864864863,2.2316322462394835e-16,0.9864864864864865,0.41934931506849327,0.14284580972509633,0.13698630136986306,1.8220645583304576,0.12616904321451897,182.20645583304577,1.0884036938570705,0.7,0.59
yeast6,41.4,standard,0.00389774236430628,0.05600841760198123,0.3153340276599177,0.3713424452618989,31.09636003042712,0.1,0.25,0.9743624161073825,0.0032179720164845975,0.9664429530201343,0.9750689655172411,0.003227148853839041,0.9689655172413792,0.006938847878482193,0.0011377640049833639,0.6938847878482193,,,
yeast6,41.4,stable,0.0017945575894303361,0.05309052746833067,0.21140342267808812,0.2644939501464188,20.393119645622377,0.001,0.25,0.974496644295302,0.0030165541944664038,0.9731543624161074,0.9764999999999998,0.003689368700161865,0.9689655172413792,2.0697442099661565,0.07539685826757421,206.97442099661566,1.0000000000000002,0.7,1.0
yeast6,41.4,balanced,0.0010846078023828917,0.039106438598782635,0.14601175751613688,0.1851181961149195,24.406094793757575,1.0,0.29,0.9731543624161073,1.1158161231197418e-16,0.9731543624161074,0.9803448275862067,0.0028367548506788584,0.9724137931034482,1.932363165828865,0.05404523543142071,193.2363165828865,1.1023623457518494,0.9,0.29
winequality_white_3_vs_7,44.0,standard,0.003158718204239802,0.04988640215713063,0.2671761051348176,0.31706250729194824,92.52428446871392,0.001,0.31,0.982777777777778,0.005555555555555591,0.9777777777777777,0.8411363636363636,0.13837173105294012,0.5170454545454546,0.006829531218390912,0.003388525707840892,0.6829531218390912,,,
winequality_white_3_vs_7,44.0,stable,0.0005587476851416713,0.044176263925488526,0.08572329598176492,0.12989955990725344,46.41264973686927,0.001,0.3,0.9830000000000001,0.005573483978295501,0.9777777777777777,0.8535227272727274,0.12328626353203666,0.5170454545454545,1.2642152604274453,0.07084444716801534,126.42152604274452,1.0211566953454776,0.7,0.93
winequality_white_3_vs_7,44.0,balanced,0.00020847455492323727,0.024431087080831262,0.04866190739606111,0.07309299447689238,30.722458523544194,0.001,0.4,0.9783333333333332,0.002433810150639908,0.9777777777777777,0.95375,0.06327530640147348,0.6534090909090908,1.2482433220813982,0.0980017993328673,124.82433220813982,1.1183942465437742,0.7,0.54
winequality_red_8_vs_6_7,46.5,standard,0.0024579377727294623,0.027331276216961832,0.22279357186306947,0.2501248480800313,36.80381009756582,0.001,0.3,0.9767441860465118,2.2316322462394835e-16,0.9767441860465116,0.8192857142857142,0.06328044640544218,0.5892857142857143,0.006463520862162113,0.0003823997137732265,0.6463520862162113,,,
winequality_red_8_vs_6_7,46.5,stable,0.0003471461235218979,0.02788303517453246,0.056491291047455414,0.08437432622198787,39.06355571235027,0.001,0.47,0.9767441860465118,2.2316322462394835e-16,0.9767441860465116,0.8201785714285714,0.05236738832425084,0.6845238095238095,1.1507436745939776,0.05584980330949495,115.07436745939776,1.0577646481296497,0.7,0.76
winequality_red_8_vs_6_7,46.5,balanced,0.00014819098465221193,0.016944070751346484,0.028498568818546538,0.04544263956989302,39.611426736076496,0.001,0.46,0.9767441860465118,2.2316322462394835e-16,0.9767441860465116,0.7905952380952381,0.05118600157183134,0.625,1.1597413416416384,0.05258362751031183,115.97413416416384,1.1033851929226506,0.7,0.31
winequality_red_3_vs_5,68.1,standard,0.0048087214895172585,0.05072990963138523,0.33716005131160115,0.3878899609429864,12.750922226033907,0.001,0.39,0.9857142857142855,2.2316322462394835e-16,0.9857142857142858,0.36797101449275366,0.16049986467426883,0.07246376811594202,0.005595947955735028,0.0003781182427533835,0.5595947955735028,,,
winequality_red_3_vs_5,68.1,stable,0.002134079341379501,0.06339938081399508,0.25868446607310586,0.32208384688710096,11.10774265488866,0.001,0.61,0.9857142857142855,2.2316322462394835e-16,0.9857142857142858,0.3123188405797101,0.16092863848823286,0.1159420289855072,1.020761138307862,0.042069520922563684,102.0761138307862,1.0069231420593452,0.7,0.99
winequality_red_3_vs_5,68.1,balanced,0.0013431467993439247,0.05162171675377034,0.19719041172011284,0.24881212847388318,17.57718778459493,0.001,0.61,0.9857142857142855,2.2316322462394835e-16,0.9857142857142858,0.3292753623188405,0.12531773767856297,0.1159420289855072,1.006241904112976,0.047541269111679794,100.6241904112976,1.064168581999002,0.8,0.69
poker_8_9_vs_6,58.4,standard,0.0010086977918605977,0.0055558364608771305,0.14839002807029666,0.1539458645311738,26.852994498475468,0.001,0.45,0.9798657718120809,3.3474483693592255e-16,0.9798657718120806,0.25194063926940635,0.09451406093248008,0.06621004566210047,0.0067373062041588124,0.0002647912967048369,0.6737306204158813,,,
poker_8_9_vs_6,58.4,stable,7.421201365072595e-06,0.004783700281668457,0.00414147750373555,0.008925177785404007,11.381477246972247,0.001,0.67,0.9798657718120809,3.3474483693592255e-16,0.9798657718120806,0.26470319634703193,0.10861362138651713,0.08447488584474883,2.1177068895846607,0.1209502533958131,211.77068895846605,1.112336210404398,0.9,0.47
poker_8_9_vs_6,58.4,balanced,4.630587659207581e-07,0.0008923167211923883,0.001380186690080395,0.0022725034112727836,13.913891755291287,0.001,0.54,0.9798657718120809,3.3474483693592255e-16,0.9798657718120806,0.16995433789954334,0.09364263424297396,0.05251141552511414,1.8488328833086416,0.11204051065107239,184.88328833086416,1.109964043956034,0.7,0.43
MEAN,53.56999999999999,balanced,0.0013361820994364998,0.0683354467654596,0.3416013895678337,0.40993683633329325,26.371721443822754,10.1008,0.517,0.9819208113959939,0.0017976990992687066,0.9799457943383126,0.726544448889373,0.05383772341068288,0.5992771953902347,1.9603826760025693,0.14671626270922042,196.03826760025694,1.0746142608462814,0.75,0.609
MEAN,53.56999999999999,stable,0.0013633444117801183,0.07394376637890991,0.34931728467554757,0.4232610510544575,23.708742632374737,10.0009,0.52,0.9832035673748125,0.002988554086048318,0.9799457943383126,0.7296675528127322,0.09280178779894858,0.5809544353483556,2.0336906687912997,0.14006966008512367,203.36906687912997,1.0404235416025154,0.72,0.828
MEAN,53.56999999999999,standard,0.0035122078911756283,0.0677009472857228,0.4170553909071592,0.484756338192882,30.862321737740935,10.011700000000001,0.472,0.9851782989467976,0.0021808921365648825,0.981538701889129,0.7268413702463341,0.08887235249454048,0.5657722581102672,0.17125617404119112,0.018414720615267038,17.12561740411911,,,
