dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
winequality_red_4,29.17,standard,0.0006706006696485924,0.3636673525656074,0.370851068163334,0.7345184207289415,34.18503750744165,100.0,0.28,0.9683750000000001,0.0014993621092630899,0.9625,0.7670967741935485,0.06710348373805958,0.6090322580645161,0.015451557460473851,0.0010180017055962302,0.7725778730236925,,,
winequality_red_4,29.17,stable,0.00037243763226000367,0.15960361640576878,0.24006777585274167,0.39967139225851045,37.6563281150726,100.0,0.58,0.96875,0.0,0.96875,0.7592774193548388,0.054172327266162223,0.6116129032258064,0.6631476676347665,0.0373558310284769,33.15738338173833,1.1154932736402163,0.7,0.42
winequality_red_4,29.17,balanced,0.00011673063559537993,0.11201461357974142,0.19010800690231813,0.30212262048205957,59.282380520632465,100.0,0.42,0.96875,0.0,0.96875,0.7513806451612903,0.0609614209638362,0.5948387096774194,1.68661848412361,0.1650018632245563,84.3309242061805,1.1055827326065562,0.7,0.38
poker_9_vs_7,29.5,standard,0.009055595543261064,1.2339938469398488,5.005922705851898,6.239916552791747,27.048202176716792,0.01,0.44,0.9472,0.03653569683004749,0.76,0.5275,0.3580949610561239,0.0,0.012660243454156443,0.00594996085936885,0.6330121727078222,,,
poker_9_vs_7,29.5,stable,0.0018142695128243824,0.32225323428543445,0.8537686939085108,1.1760219281939452,85.0722611388534,0.01,0.6,0.9576,0.012545427657200073,0.88,0.5741666666666666,0.3568739066684071,0.0,0.3638331367191859,0.02535756315156047,18.191656835959293,1.0981951173548457,0.7,0.8
poker_9_vs_7,29.5,balanced,0.000899312991063269,0.24239674030249653,0.6258561792264017,0.8682529195288982,53.57776614795335,0.01,0.48,0.9592,0.00565685424949237,0.92,0.5158333333333334,0.3159688426471976,0.0,0.8938765874737874,0.06389354127069555,44.69382937368937,1.087324361509067,0.7,0.66
flare_F,23.79,standard,0.002933520314876367,0.41356675644614976,1.643264413528217,2.056831169974367,23.810871528091866,10.0,0.26,0.9579439252336449,0.008066118807473014,0.9252336448598131,0.8916504854368932,0.07025714902922094,0.7063106796116505,0.032518464226741345,0.0056536644893486285,1.6259232113370672,,,
flare_F,23.79,stable,0.0018987672322092711,0.1496790861084679,0.6648402652949237,0.8145193514033916,11.523216615165799,100.0,0.62,0.9579439252336449,0.007842016104453092,0.9345794392523364,0.9034466019417478,0.05496968911291486,0.720873786407767,1.1672991482971702,0.08126372448905596,58.36495741485851,1.0929111939785778,0.7,0.52
flare_F,23.79,balanced,0.0013298206683721712,0.13511240848239617,0.5754248215873032,0.7105372300696994,11.769599837488533,100.0,0.68,0.9607476635514018,0.004995537232007933,0.9345794392523364,0.9155825242718447,0.04223776360263748,0.7645631067961166,2.4415366100391838,0.16566834283003345,122.0768305019592,1.1029076749522762,0.9,0.26
kr_vs_k_one_vs_fifteen,27.77,standard,0.002136992164983682,0.31617887425657243,2.67410534175736,2.9902842160139325,10.44727710857552,1.0,0.36,0.9889777777777777,0.012121497969556019,0.9688888888888889,0.9992511520737327,0.0011882430117012657,0.9971198156682027,0.020734955762745814,0.0012037667311966525,1.0367477881372906,,,
kr_vs_k_one_vs_fifteen,27.77,stable,0.004247548340709799,0.13770986236521618,1.3536491609942185,1.4913590233594347,66.98887123720215,100.0,0.7,0.9852444444444446,0.013865131608736671,0.9644444444444444,0.9973041474654377,0.0036883254616355355,0.9879032258064516,1.463088832523208,0.07198290293001827,73.1544416261604,1.0450311372327405,0.7,0.84
kr_vs_k_one_vs_fifteen,27.77,balanced,0.0040001790222985245,0.13483286567512529,1.1886660516275651,1.3234989173026903,60.15135652516125,100.0,0.62,0.9828444444444444,0.014644799200159786,0.9644444444444444,0.9988018433179724,0.0013158325274066464,0.9942396313364055,3.1250515623390673,0.13835665974629718,156.25257811695337,1.042706637381564,0.7,0.84
